experience_id,scenario_id,original_word_count,cleaned_word_count,typos_fixed,placeholders_removed,signatures_removed,ai_prefixes_removed,calibration_score,original_buddhist_score,adjusted_buddhist_score,kept,rejection_reason
1,3,7,7,0,0,False,0,10.0,5.2,5.72,True,
2,29,263,261,2,0,False,0,7.0,7.26,7.09,True,
3,3,429,417,0,1,False,11,0.5,7.3,5.201,False,composite=4.67 < 5.0
4,16,146,142,0,2,True,0,7.0,6.735,7.004,True,
5,7,187,187,1,0,False,0,1.5,5.89,5.478,False,calibration=1.5 < 2.0
6,25,221,217,1,0,False,1,10.0,6.15,6.65,True,
7,29,302,302,1,0,False,0,5.0,6.97,6.259,True,
8,25,301,297,2,0,False,1,10.0,6.145,6.104,True,
9,21,177,172,0,1,True,0,7.0,5.58,5.803,True,
10,17,361,354,1,1,True,0,3.0,7.63,6.197,True,
11,17,380,376,0,2,True,0,1.5,6.69,5.127,False,calibration=1.5 < 2.0
12,3,225,217,2,0,True,1,0.5,5.46,4.884,False,composite=4.66 < 5.0
13,14,139,135,1,0,False,1,0.5,6.805,6.193,False,calibration=0.5 < 2.0
14,6,293,293,1,0,False,0,1.5,7.5,6.326,False,calibration=1.5 < 2.0
15,13,236,234,0,0,False,1,5.0,7.325,7.076,True,
16,21,323,315,1,2,True,1,3.0,6.86,5.828,True,
17,14,258,256,2,0,False,1,0.5,8.03,6.898,False,calibration=0.5 < 2.0
18,21,291,289,3,0,False,0,3.0,6.235,5.453,True,
19,2,283,274,0,0,False,9,0.5,7.42,6.253,False,calibration=0.5 < 2.0
20,10,537,536,1,0,False,1,0.5,7.54,5.146,False,calibration=0.5 < 2.0
21,29,266,266,1,0,False,0,7.0,6.99,6.79,True,
22,2,364,361,1,0,False,3,0.5,7.87,6.009,False,calibration=0.5 < 2.0
23,29,213,213,0,0,False,0,7.0,7.1,7.288,True,
24,25,275,272,0,2,False,0,10.0,7.85,8.013,True,
25,6,340,340,0,0,False,0,0.5,7.485,5.858,False,calibration=0.5 < 2.0
26,15,237,235,2,0,False,0,0.5,5.46,4.795,False,composite=4.93 < 5.0
27,8,325,323,2,0,False,1,0.5,6.405,5.112,False,calibration=0.5 < 2.0
28,6,105,105,1,0,False,0,5.0,5.33,5.33,True,
29,9,473,458,7,0,False,1,0.5,6.46,4.409,False,composite=4.79 < 5.0
30,14,416,416,3,0,False,0,0.5,7.95,5.672,False,calibration=0.5 < 2.0
31,26,185,185,1,0,False,0,5.0,5.42,5.42,True,
32,22,172,169,2,0,False,1,10.0,5.38,5.918,True,
33,13,195,191,0,0,True,1,5.0,5.94,5.94,True,
34,13,400,400,0,0,False,0,1.5,7.2,5.357,False,calibration=1.5 < 2.0
35,28,124,124,0,0,False,0,10.0,6.69,7.359,True,
36,11,109,109,0,0,False,0,10.0,5.87,6.457,True,
37,22,246,245,0,0,False,1,10.0,8.13,8.541,True,
38,17,344,339,1,2,True,0,3.0,6.7,5.538,True,
39,18,291,289,0,0,False,1,7.0,7.42,7.03,True,
